22 -610 -610
23 -620 -600
24 -600 -600
25 -610 -600
26 -620 -600
27 -620 -590
28 -620 -610
29 -610 -610
30 -620 -600
31 -620 -620
32 -610 -610
33 -620 -600
34 -610 -620
35 -610 -610
36 -620 -610
37 -620 -620
38 -620 -600
39 -620 -600
40 -610 -620
41 -610 -620
42 -620 -600
43 -620 -620
44 -620 -600
45 -610 -600
46 -620 -620
47 -610 -600
48 -610 -610
49 -630 -610
50 -610 -600
51 -610 -580
52 -590 -600
53 -590 -560
54 -590 -560
55 -590 -580
57 -580 -550
58 -580 -560
59 -570 -540
60 -570 -560
61 -560 -520
62 -550 -530
63 -550 -530
64 -560 -520
65 -540 -530
66 -540 -480
67 -530 -520
68 -510 -480
69 -500 -480
70 -500 -460
71 -490 -460
72 -480 -440
73 -460 -430
74 -450 -390
75 -430 -420
76 -440 -350
77 -400 -380
78 -380 -340
79 -340 -280
80 -330 -320
81 -290 -240
82 -260 -170
83 -230 -140
84 -180 -130
85 -140 -130
86 -80 -70
87 -20 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 60 10
100 120 70
101 160 110
102 210 110
103 250 140
104 280 140
105 320 230
106 340 300
107 350 290
108 380 320
109 410 390
110 430 340
111 440 410
112 450 410
113 450 440
114 490 440
115 500 470
116 490 480
117 490 490
118 510 480
119 510 500
120 530 490
121 520 540
122 520 520
123 550 530
124 530 540
125 560 540
126 560 560
127 570 540
128 560 560
129 570 560
130 570 560
131 570 580
132 570 560
133 570 570
134 600 590
135 590 590
136 590 600
137 610 610
138 590 600
139 590 610

